100	90
15 51	66 55	29 43	45 31	20 27	0 84	46 1	82 83	88 12	26 5	22 61	27 12	33 19	13 84	32 91	2 3	73 52	5 74	6 35	41 20	61 47	85 52	1 68	74 3	21 79	69 28	44 48	12 2	8 89	42 90	65 58	63 84	36 98	62 83	79 46	38 1	11 8	3 17	23 25	78 68	17 36	86 36	77 13	9 82	24 7	72 81	54 78	4 3	83 37	55 63	56 10	35 94	19 44	39 80	75 48	52 8	87 27	81 2	43 1	84 70	60 27	80 51	49 14	16 39	28 91	89 6	76 26	71 3	51 28	31 29	70 9	25 71	10 45	57 36	14 46	68 74	48 64	40 56	58 76	53 70	47 24	34 70	59 18	67 83	64 13	37 94	18 58	50 64	30 91	7 74
45 69	18 28	58 52	20 3	69 5	27 46	11 6	64 80	8 88	0 88	54 19	60 45	61 26	87 96	55 48	39 91	65 17	40 85	14 64	52 7	68 24	42 89	23 76	33 10	32 65	80 14	4 33	47 28	43 39	28 79	81 19	71 12	19 77	59 43	34 98	35 54	9 5	79 93	17 3	21 36	78 65	75 24	25 72	67 66	13 6	74 25	77 88	53 77	29 13	12 43	1 40	85 41	84 67	56 36	5 21	66 54	49 66	31 19	83 71	82 6	38 78	46 40	16 15	88 54	48 11	10 45	15 79	89 23	6 71	24 22	30 2	44 21	73 23	72 96	57 74	70 78	26 56	37 27	41 38	62 29	3 19	50 96	63 17	76 48	22 55	86 30	36 18	7 11	2 68	51 34
0 42	71 14	8 86	43 95	57 15	2 92	18 36	19 18	82 26	14 99	53 51	77 79	27 16	45 61	80 38	7 93	34 33	88 20	22 82	89 48	42 27	23 50	12 83	13 76	44 63	38 27	72 45	52 62	66 44	28 45	4 64	15 9	25 74	39 2	29 24	68 67	84 96	10 95	50 68	16 6	30 83	60 9	76 56	21 44	65 13	79 75	9 30	46 1	32 71	35 43	51 1	54 28	67 43	83 20	73 94	63 8	55 85	6 85	37 24	69 50	86 33	41 40	11 22	78 32	85 60	1 42	74 77	70 84	64 32	81 52	20 49	40 41	56 57	24 42	47 28	62 84	17 87	61 87	49 56	5 33	87 40	26 29	33 37	59 16	48 55	58 72	75 23	36 80	31 2	3 52
17 88	43 97	70 80	60 59	16 16	54 38	77 9	57 21	4 44	26 39	23 30	18 13	20 72	22 22	62 46	39 28	45 1	78 51	40 43	66 90	2 21	35 21	55 93	6 37	72 47	52 35	81 3	32 77	34 9	19 52	50 77	21 44	89 74	79 89	64 77	76 34	82 67	7 55	5 24	73 3	44 4	48 85	87 79	41 27	59 69	24 87	13 90	51 52	15 25	61 39	65 30	42 53	29 18	47 1	36 84	56 77	74 84	53 98	63 27	68 95	75 64	88 34	27 78	84 55	9 87	30 69	37 3	8 32	11 25	3 73	12 36	80 75	85 21	1 93	86 32	38 36	10 69	46 98	0 17	83 9	67 11	31 49	49 70	71 95	28 31	14 94	69 22	33 34	25 14	58 58
29 97	83 13	64 4	2 60	85 97	62 45	80 9	89 33	49 9	47 79	43 25	50 55	68 38	53 17	12 29	58 16	10 49	33 69	19 63	34 13	76 78	61 95	32 39	73 17	1 69	24 96	36 39	3 8	22 82	14 40	86 65	71 78	60 87	20 8	37 76	88 31	45 42	15 15	77 69	23 5	39 10	11 21	48 98	78 96	81 59	46 75	55 98	44 79	0 80	30 52	84 82	21 19	27 2	75 34	8 80	74 71	65 80	25 21	69 13	41 54	6 19	72 75	13 69	4 8	40 20	26 12	18 51	7 87	35 28	28 90	16 51	42 28	82 62	57 12	79 60	5 23	63 48	67 47	59 55	66 12	70 92	31 18	54 1	38 48	56 69	17 27	52 74	51 42	9 45	87 37
86 19	14 14	84 11	81 50	74 90	24 40	22 4	38 89	58 71	19 81	85 8	88 58	13 99	35 82	23 8	4 11	10 42	52 95	31 45	68 91	65 14	69 98	47 38	1 63	41 6	30 86	37 97	40 26	33 76	56 65	7 10	3 78	18 11	55 24	12 73	82 34	15 71	83 37	89 75	53 32	78 63	27 73	75 26	46 87	16 86	25 50	0 10	26 29	50 37	11 62	20 36	8 95	72 37	63 38	2 55	66 40	67 85	51 88	6 84	21 47	60 19	62 50	64 53	32 19	44 26	79 97	59 32	73 38	80 96	45 54	61 6	70 43	77 19	49 74	36 99	29 22	54 96	43 53	17 94	34 25	76 81	39 45	5 86	71 20	28 14	9 20	48 75	57 29	42 40	87 84
75 19	81 33	51 59	18 51	25 37	41 66	42 20	1 73	2 63	34 32	46 58	82 23	28 62	77 90	10 60	69 38	37 51	4 42	20 88	56 26	22 86	23 60	36 28	52 30	67 39	86 48	14 6	53 72	17 73	57 27	48 83	29 87	7 46	31 85	39 52	54 90	9 89	27 2	62 38	32 33	12 49	66 87	47 33	79 58	35 40	8 54	21 36	72 99	87 25	5 49	49 40	61 68	26 83	89 40	45 57	58 13	74 28	30 78	76 88	13 46	0 47	64 92	43 19	15 33	55 58	68 93	88 1	65 72	83 10	33 22	16 6	19 51	85 70	84 41	38 52	3 39	71 20	70 82	24 60	73 3	60 23	44 17	59 48	63 73	50 13	80 8	6 89	78 11	11 33	40 81
65 85	27 97	29 8	43 65	21 70	35 10	66 46	15 82	58 67	87 59	39 94	59 10	31 15	89 45	67 89	13 94	72 81	44 99	57 7	85 51	80 84	10 13	51 66	52 14	50 81	19 4	60 9	47 99	42 1	22 53	12 93	11 94	78 59	69 14	55 97	8 46	56 92	49 53	74 4	61 74	82 20	68 26	32 55	7 80	53 62	71 95	9 84	45 79	3 96	37 12	36 47	2 1	23 82	40 17	77 69	20 31	79 75	28 96	1 26	81 11	17 19	38 36	86 31	73 69	76 31	48 74	14 31	16 24	46 43	30 99	4 5	5 42	75 78	24 80	6 70	84 79	62 97	63 30	33 55	41 55	83 96	25 5	88 49	70 37	0 28	18 39	26 43	34 68	64 26	54 2
88 40	8 31	36 32	24 88	86 48	85 23	14 5	42 18	5 69	32 18	53 85	72 19	75 67	41 79	20 43	74 55	83 99	56 53	16 27	23 46	34 33	9 78	66 93	29 34	6 33	64 61	40 27	48 6	12 20	26 74	44 44	27 62	73 25	58 60	59 48	37 57	2 69	77 82	3 19	68 39	87 6	33 38	80 36	7 21	46 66	15 56	10 39	65 14	84 68	11 75	71 62	50 53	62 25	4 27	67 41	69 94	21 79	79 51	22 33	18 7	1 57	47 71	30 8	38 36	19 23	61 13	49 98	82 62	31 17	28 71	54 88	39 65	57 38	25 86	81 86	52 90	51 52	35 65	76 88	78 58	0 39	70 27	63 40	43 88	45 55	55 67	60 61	17 37	89 71	13 69
66 2	74 41	43 6	12 14	27 45	62 29	16 70	25 7	67 73	48 35	56 30	29 24	84 34	50 6	7 4	22 5	71 70	34 86	21 5	77 34	69 17	20 92	59 44	33 75	53 22	24 79	78 59	68 81	45 90	46 11	3 27	72 69	81 63	10 36	83 1	18 85	49 32	28 88	55 45	63 14	0 51	51 12	42 95	76 4	36 15	32 58	30 37	13 68	88 78	37 8	54 77	64 96	8 84	23 9	41 20	15 2	5 18	39 19	1 38	85 83	44 70	70 30	58 88	11 99	60 97	52 5	35 22	4 93	87 44	89 13	86 73	19 79	80 76	73 23	14 80	38 72	79 56	61 18	2 77	40 15	75 46	31 13	57 79	9 69	47 59	82 67	6 21	26 89	65 70	17 59
61 96	15 60	44 84	9 55	23 22	41 32	42 60	78 49	4 47	74 76	81 74	80 27	56 50	22 76	3 23	71 22	77 77	14 96	40 12	85 74	53 53	55 79	83 34	52 72	13 97	50 7	6 70	38 49	21 34	27 77	10 23	2 6	24 93	0 47	47 26	39 7	8 14	26 59	87 14	73 40	82 72	67 91	51 52	63 16	28 37	59 8	79 70	25 45	33 96	29 6	12 72	69 65	45 34	70 20	68 71	46 39	89 40	54 11	57 67	35 61	76 22	84 95	32 23	1 85	30 32	17 27	58 49	48 96	31 61	72 92	43 60	7 98	88 25	34 35	49 29	19 7	18 74	11 29	16 13	37 55	62 76	60 15	86 27	65 10	36 24	20 38	66 10	75 88	5 44	64 48
21 38	71 90	8 46	76 35	87 84	10 52	86 29	75 59	4 55	36 13	57 88	55 33	74 30	40 25	46 3	18 20	41 78	22 84	43 57	59 93	63 93	80 25	39 78	42 45	53 12	25 53	38 15	23 23	82 31	12 62	81 44	69 87	77 4	84 79	56 16	54 47	32 43	13 24	16 53	5 53	19 31	14 78	7 28	61 68	52 11	28 47	48 29	67 43	58 66	30 89	88 91	64 6	83 33	68 30	9 77	50 33	73 1	3 95	2 22	62 10	24 16	72 87	17 86	20 49	47 70	0 81	35 41	85 89	70 2	65 1	78 50	49 62	66 8	60 68	51 4	27 55	1 38	79 63	6 63	31 59	33 75	45 25	34 86	37 47	44 41	29 35	89 62	26 92	15 36	11 98
54 32	21 60	49 25	32 76	85 35	62 13	53 34	34 37	69 89	87 93	16 10	0 37	78 53	1 23	68 94	51 19	48 16	31 62	59 53	83 96	35 40	41 50	15 96	40 7	82 88	43 30	3 83	89 48	72 79	74 39	55 64	50 78	79 3	29 66	22 89	4 49	71 65	23 20	12 17	60 4	80 65	67 80	7 97	81 1	26 20	5 12	63 82	76 38	24 39	61 58	27 61	88 8	52 9	46 58	86 55	9 3	84 89	17 18	8 63	56 95	6 36	73 78	45 24	10 64	13 98	28 36	66 83	58 1	19 93	57 9	18 97	42 41	33 46	30 18	65 77	77 43	47 57	25 28	64 50	38 60	75 61	2 67	70 41	11 79	44 69	14 38	37 40	20 33	39 58	36 7
1 51	39 74	11 33	7 66	79 27	42 72	74 72	76 6	52 39	55 80	9 4	6 72	82 8	66 32	38 12	85 2	31 4	75 2	61 86	35 8	56 79	25 23	87 87	70 21	49 32	14 5	84 83	80 76	20 52	33 52	77 88	71 54	86 41	53 39	2 85	63 11	4 64	0 82	45 49	28 43	37 88	24 3	29 11	3 29	58 85	89 86	23 3	34 96	50 34	18 51	12 48	60 85	30 29	16 24	65 68	62 35	57 26	19 68	48 99	68 84	83 30	13 67	22 79	73 95	46 90	36 59	5 64	21 34	40 23	59 51	54 23	8 47	88 3	15 34	44 40	26 15	41 5	32 32	43 30	72 95	64 24	51 44	27 38	67 3	47 29	69 13	17 89	81 42	10 43	78 88
13 93	85 52	35 24	26 32	23 50	59 30	68 67	49 52	45 91	79 52	8 24	39 70	22 73	40 34	74 47	19 56	62 21	56 82	64 73	24 16	5 55	0 92	30 77	76 99	72 56	31 10	28 92	3 80	88 2	47 5	55 93	57 89	2 84	54 64	73 19	51 46	6 43	66 76	78 44	27 25	48 11	29 17	65 25	82 50	33 55	37 5	17 60	63 54	20 59	50 95	84 25	11 76	87 76	44 16	77 17	86 16	16 28	70 6	53 9	83 58	25 17	75 49	81 74	42 69	21 95	41 60	34 57	15 32	38 70	9 26	89 90	46 18	32 75	1 39	61 77	69 33	58 9	14 33	36 45	12 95	7 30	10 69	43 7	18 36	52 37	67 5	71 36	60 31	80 99	4 20
54 48	23 45	62 75	34 50	21 59	26 41	81 57	15 82	56 40	33 65	16 32	27 84	0 27	7 55	52 37	89 67	3 21	32 29	77 13	73 76	84 33	58 35	18 3	46 49	13 32	44 33	9 98	43 74	68 23	53 62	76 51	59 54	88 89	78 32	45 54	40 95	55 9	35 46	49 68	51 71	61 46	14 11	42 35	10 24	37 66	60 57	67 8	82 73	22 67	31 68	79 66	69 26	80 43	20 27	85 57	1 52	6 84	63 41	29 19	48 40	4 47	12 42	66 81	87 78	24 79	72 62	50 47	17 79	71 23	74 65	2 15	25 90	57 39	38 56	5 38	41 81	75 44	11 33	64 57	19 42	39 40	86 53	8 55	65 44	28 85	70 85	30 41	47 33	36 69	83 27
65 94	76 50	11 73	80 4	50 63	41 92	34 9	44 60	48 96	4 97	33 9	22 50	63 92	73 60	27 85	25 49	6 78	38 92	13 52	75 48	84 71	36 1	67 87	70 43	68 5	87 91	58 79	18 64	30 20	39 65	10 70	54 59	45 54	49 73	3 89	16 93	32 30	15 63	17 4	47 65	29 12	77 76	43 64	31 59	53 7	46 94	20 28	52 88	21 44	12 38	0 34	40 23	64 77	5 81	24 39	72 39	28 80	62 62	2 79	9 5	59 48	51 74	8 86	66 44	37 99	82 11	86 40	79 22	78 17	81 19	74 97	55 28	60 81	69 19	1 38	85 40	7 94	56 54	35 25	83 39	42 79	71 35	23 14	61 83	57 99	14 92	88 50	26 56	89 5	19 33
4 84	21 79	44 88	17 94	20 36	33 11	35 52	41 58	27 73	15 27	86 83	24 66	23 28	49 42	13 78	42 16	51 31	67 44	25 1	14 2	10 45	30 26	32 99	66 27	43 68	16 46	8 78	9 24	71 42	12 38	29 90	7 50	40 69	79 37	81 70	26 25	50 29	0 97	84 84	82 69	60 77	18 88	55 34	56 39	85 76	63 75	48 79	38 72	31 17	58 26	2 59	36 89	47 61	3 13	39 93	76 98	34 75	78 88	69 77	80 80	5 72	64 32	68 29	87 66	59 16	52 16	11 40	6 80	88 92	22 16	1 24	46 39	57 84	74 81	45 1	77 85	28 45	53 52	19 45	37 60	70 30	65 19	61 43	75 74	83 6	73 97	54 38	89 20	72 83	62 35
32 2	83 11	65 30	20 45	34 91	59 99	12 95	38 98	39 11	7 49	88 95	75 33	84 42	54 63	63 36	40 70	79 67	62 90	66 73	64 19	6 56	25 55	44 90	11 87	2 72	42 63	14 51	28 91	5 29	15 67	53 94	78 13	33 53	73 42	17 12	8 28	85 60	58 81	70 42	3 70	76 4	48 18	37 75	27 42	61 6	80 32	74 75	87 71	72 63	60 24	52 30	51 81	49 84	22 75	1 59	56 4	50 45	31 76	81 81	57 8	23 6	55 63	71 41	47 66	4 88	35 41	86 31	13 29	41 7	16 11	45 50	0 72	77 19	18 58	89 93	68 56	46 48	21 15	67 6	36 5	19 20	69 50	10 94	30 42	24 87	82 21	9 32	26 52	29 20	43 6
70 57	12 83	89 51	46 76	6 65	14 21	67 86	71 71	62 68	64 53	77 15	40 23	56 90	85 75	24 75	41 66	4 37	53 75	19 25	37 90	68 22	25 37	80 55	30 49	10 33	18 8	81 80	21 98	17 33	84 4	79 85	87 34	29 38	83 77	51 14	35 33	26 2	59 9	54 74	11 10	36 39	16 80	33 65	45 31	74 1	69 39	34 51	5 74	82 63	72 66	52 67	8 87	22 94	86 17	3 70	43 52	50 70	60 92	28 97	88 7	49 49	1 19	31 42	63 24	15 62	0 33	55 36	20 70	73 15	42 74	66 30	58 76	47 63	2 97	48 1	32 69	78 84	44 16	23 62	57 82	39 3	9 15	7 76	75 22	38 5	65 12	61 92	76 3	13 93	27 16
14 75	63 22	11 90	54 2	76 50	37 62	48 96	1 38	29 99	65 93	58 3	77 63	72 86	8 27	81 24	88 69	51 73	73 44	9 76	78 23	75 66	39 13	68 25	23 38	38 16	67 53	83 7	18 5	61 80	24 19	46 69	33 75	55 55	42 25	64 11	69 39	57 50	60 19	25 41	6 87	20 88	32 85	79 41	0 47	21 10	45 89	70 61	50 99	31 29	53 35	84 41	62 70	47 55	34 23	80 7	27 28	44 35	30 39	3 10	5 12	41 11	82 17	66 70	2 75	89 39	13 71	12 5	86 52	16 2	10 54	71 97	17 66	52 69	22 39	4 74	7 33	15 56	19 79	59 63	28 24	26 6	40 53	43 90	85 5	35 73	56 24	49 69	87 70	36 37	74 26
2 81	61 77	53 23	50 33	60 84	32 86	70 95	17 72	55 38	51 58	31 21	47 79	10 17	12 83	13 65	71 52	25 95	3 40	64 13	6 81	76 44	38 85	34 48	40 76	18 77	77 95	45 96	21 91	19 29	42 52	36 62	27 24	8 80	65 10	46 87	20 27	58 17	43 17	4 20	85 95	22 33	68 7	35 73	37 14	62 9	75 14	39 31	44 96	87 25	73 67	72 47	33 13	84 44	11 35	81 44	57 80	63 18	86 50	74 89	79 56	9 25	69 80	41 4	1 23	29 77	78 54	56 87	49 59	52 48	80 85	82 81	14 98	23 17	0 3	66 8	30 1	5 53	88 93	28 93	89 14	67 36	26 91	54 42	83 48	15 24	7 3	24 85	48 14	59 36	16 77
35 38	18 12	26 68	76 58	10 60	31 1	7 40	44 51	85 21	51 33	70 48	72 46	4 21	75 90	30 2	32 9	23 62	45 7	21 14	73 90	22 88	83 58	58 10	43 27	68 82	14 6	39 80	56 38	48 89	88 41	28 73	42 21	87 81	13 93	47 87	20 44	74 9	86 79	79 47	65 20	46 72	89 43	64 36	49 27	3 44	37 81	41 80	33 39	61 54	84 94	59 55	12 14	69 75	36 23	11 69	16 96	52 16	38 84	27 26	67 62	66 90	2 53	19 31	78 57	34 9	57 7	5 68	40 32	82 49	9 85	6 98	81 1	71 42	15 79	29 91	8 38	17 2	54 88	50 18	24 67	62 18	60 69	53 81	80 58	55 47	77 55	0 75	25 85	63 65	1 84
34 45	76 39	75 62	21 67	30 78	60 69	83 76	45 75	70 52	82 80	85 60	65 72	24 92	43 6	32 88	67 99	69 90	8 5	55 12	80 34	68 34	81 30	47 22	87 15	84 73	18 99	29 29	19 98	56 99	78 34	5 69	25 5	71 30	41 12	74 68	48 89	66 34	36 37	13 87	59 13	79 88	88 71	73 12	89 9	16 79	72 64	7 18	6 13	26 72	28 57	44 39	11 61	9 66	54 85	42 65	22 24	50 78	77 18	10 48	38 45	52 40	20 76	17 87	3 95	12 52	14 69	46 14	15 30	62 62	23 44	4 63	33 98	0 75	86 60	57 4	31 95	61 66	58 78	63 69	2 25	53 25	1 95	39 86	27 91	35 43	49 9	51 85	64 67	37 41	40 31
12 17	3 20	68 88	0 82	69 12	55 7	65 58	18 22	22 43	34 15	1 91	59 32	28 86	8 98	78 38	27 10	62 84	44 81	43 21	11 46	54 15	77 29	86 23	57 95	25 48	2 98	53 55	49 98	83 88	67 44	6 26	13 81	63 22	46 28	35 22	16 80	32 83	85 97	21 4	71 45	29 58	36 53	17 10	5 95	30 40	4 31	82 33	9 34	52 49	81 31	76 82	79 81	72 71	56 4	75 89	73 97	10 91	38 80	80 26	33 29	87 78	42 51	23 91	20 14	58 58	60 67	51 60	70 25	14 88	48 76	50 70	47 90	61 85	39 74	84 65	89 98	45 22	26 89	24 91	66 19	31 30	15 38	7 75	88 77	19 72	64 68	40 33	74 81	41 94	37 80
14 6	20 76	73 96	87 44	9 57	78 63	56 98	71 88	45 84	8 43	13 72	24 28	16 46	19 20	37 76	49 38	36 18	79 25	69 79	75 32	88 4	81 63	66 85	30 85	33 35	64 18	58 41	40 28	5 37	63 99	62 67	72 69	27 17	52 90	74 44	29 10	84 70	12 31	80 9	44 3	68 36	22 75	7 47	34 60	38 57	23 71	32 96	35 70	26 90	18 23	86 53	4 88	51 95	55 2	42 31	3 22	54 43	61 84	43 17	70 15	2 16	10 62	48 27	82 33	6 79	65 11	39 55	67 57	41 48	11 62	59 53	25 42	76 75	89 29	60 11	21 22	50 85	77 59	57 51	15 39	83 29	53 93	47 76	28 37	17 2	85 34	1 12	46 81	0 55	31 79
47 53	13 54	33 97	69 56	19 14	45 86	84 55	67 19	82 4	60 59	22 42	4 92	17 40	49 76	78 84	71 90	58 43	36 80	76 61	46 8	63 45	32 15	0 93	15 50	9 46	29 3	40 1	10 9	41 42	85 22	34 16	24 80	79 27	27 12	74 5	16 37	77 47	70 15	73 96	25 58	2 63	28 49	62 79	31 15	8 7	54 28	48 63	12 88	3 46	64 74	87 38	42 5	37 45	43 76	38 62	57 34	81 72	68 26	44 2	6 66	53 39	72 15	39 16	89 66	66 60	86 50	88 70	21 98	75 83	52 59	30 31	1 49	26 53	35 50	18 75	59 72	7 95	20 93	50 42	83 5	65 56	14 70	11 19	23 1	5 64	56 76	51 64	80 21	55 63	61 24
